stamp,x,y,yaw,v,w
1786167426.1173437,0.31028166882094543,-0.006527560356872337,-0.02178760901129965,0.0,0.007456851052221867
1786167426.1372073,0.31028166882094543,-0.006527560356872337,-0.021956888951377523,0.0,-0.008522115488253563
1786167426.1567004,0.31028166882094543,-0.006527560356872337,-0.022081480807795106,0.0,-0.006391586616190171
1786167426.176718,0.31028166882094543,-0.006527560356872337,-0.02223074924764699,0.0,-0.007456851052221867
1786167426.1966348,0.31028166882094543,-0.006527560356872337,-0.022506565434910985,0.0,-0.01384843766841204
1786167426.2172089,0.31028166882094543,-0.006527560356872337,-0.022835318176401286,0.0,-0.01597896654047543
1786167426.2366767,0.31028166882094543,-0.006527560356872337,-0.022793841401108055,0.0,0.0021305288720633907
1786167426.2569196,0.31028166882094543,-0.006527560356872337,-0.023031046202275068,0.0,-0.011717908796348648
1786167426.2765899,0.31028166882094543,-0.006527560356872337,-0.023198678327683086,0.0,-0.008522115488253563
1786167426.2964008,0.31028166882094543,-0.006527560356872337,-0.023325301506808654,0.0,-0.006391586616190171
1786167426.316619,0.31028166882094543,-0.006527560356872337,-0.02356221575619048,0.0,-0.011717908796348648
1786167426.3368611,0.31028166882094543,-0.006527560356872337,-0.023691595621571675,0.0,-0.006391586616190171
1786167426.3565333,0.31028166882094543,-0.006527560356872337,-0.023670639574064994,0.0,0.0010652644360316954
1786167426.3764522,0.31028166882094543,-0.006527560356872337,-0.023649420658465963,0.0,0.0010652644360316954
1786167426.3968732,0.31139558397350303,-0.006551102528952188,-0.02386247256447874,0.058949462723060814,-0.01043296667441477
1786167426.4166195,0.31260738499668705,-0.006576952393161843,-0.024004837527142067,0.0663212949442249,-0.00720970191928017
1786167426.4366581,0.31438748089937596,-0.006615210419607717,-0.0241470934152423,0.09600308124293365,-0.00709909147727876
1786167426.4566972,0.3159487739246611,-0.006649000081558514,-0.024268887101753032,0.08420105077740012,-0.006077807810907263
1786167426.4766583,0.31596111253226095,-0.006649269103538982,-0.024438948368749033,0.000668026926687923,-0.008519626057432715
1786167426.4965472,0.31596111253226095,-0.006649269103538982,-0.024947434311134317,0.0,-0.025566346464760685
1786167426.5166779,0.31596111253226095,-0.006649269103538982,-0.02571943446803958,0.0,-0.03834951969714103
1786167426.5366867,0.31596111253226095,-0.006649269103538982,-0.026401503767852566,0.0,-0.03408846195301425
1786167426.5567167,0.31596111253226095,-0.006649269103538982,-0.02670022554414693,0.0,-0.014913702104443734
1786167426.576733,0.31596111253226095,-0.006649269103538982,-0.026721548337088744,0.0,-0.0010652644360316954
1786167426.5966756,0.31596111253226095,-0.006649269103538982,-0.026764036456095805,0.0,-0.0021305288720633907
1786167426.6167617,0.31596111253226095,-0.006649269103538982,-0.026935212094184716,0.0,-0.008522115488253563
1786167426.63671,0.31596111253226095,-0.006649269103538982,-0.027126463489144423,0.0,-0.009587379924285258
1786167426.656566,0.31709932219745396,-0.006677601444820698,-0.027291094065212605,0.061955518906310486,-0.008291235605833823
1786167426.6768553,0.3184652363044794,-0.00671171079495592,-0.02726397898771345,0.07276184350945122,0.0013364145477676582
1786167426.6964655,0.31992450907682973,-0.006747854291088391,-0.02690297130202802,0.08042714265946464,0.018409210588335393
1786167426.716564,0.3216240531272839,-0.006788816158551097,-0.02601830960474522,0.09139222092015557,0.044016418884684966
1786167426.737711,0.3216240531272839,-0.006788816158551097,-0.024216136759234678,0.0,0.08522115488253562
1786167426.756839,0.3216240531272839,-0.006788816158551097,-0.02209698410706826,0.0,0.11078750134729631
1786167426.776478,0.3216240531272839,-0.006788816158551097,-0.019753860728796705,0.0,0.11930961683554987
1786167426.7965953,0.3216240531272839,-0.006788816158551097,-0.01846804716950082,0.0,0.06391586616190172
1786167426.8172445,0.3216240531272839,-0.006788816158551097,-0.017170232856357107,0.0,0.06285060172587002
1786167426.8369272,0.3216240531272839,-0.006788816158551097,-0.01652024895652188,0.0,0.03302319751698255
1786167426.856971,0.3216240531272839,-0.006788816158551097,-0.016242672949922602,0.0,0.01384843766841204
1786167426.8771977,0.3216240531272839,-0.006788816158551097,-0.01566090928855954,0.0,0.02876213977285577
1786167426.8966084,0.3216240531272839,-0.006788816158551097,-0.015040586306760282,0.0,0.03195793308095086
1786167426.9170685,0.3227812982913367,-0.006801842428232572,-0.014098722456598439,0.06111315314730752,0.04603411151987096
1786167426.9373546,0.32419831525200216,-0.006816181910987994,-0.012926074666806722,0.0754721900439028,0.05780552987935247
1786167426.95707,0.3256896269479528,-0.0068292331820848364,-0.01155492251825806,0.0817261917784649,0.06954674447977827
